Date,Open,High,Low,Close,Volume
2024-08-09,57.44,59.53,57.0,58.85,62796186
2024-08-12,59.23,60.4,58.1146,59.25,54486320
2024-08-13,60.96,63.71,60.9,63.56,54481434
2024-08-14,63.99,64.637,61.8699,63.67,62355289
2024-08-15,66.13,68.63,65.9876,68.46,53212430
2024-08-16,67.62,69.255,67.19,68.64,44837575
2024-08-19,68.68,71.35,67.885,71.3,45799924
2024-08-20,70.9,72.06,70.09,70.86,48929477
2024-08-21,71.18,72.66,70.4201,71.83,51500357
2024-08-22,72.86,73.16,67.92,68.38,63748239
2024-08-23,70.2,71.72,68.5,70.53,64376646
2024-08-26,70.27,70.67,67.53,68.46,42490653
2024-08-27,67.73,69.5,66.85,69.04,35766295
2024-08-28,68.8,69.12,65.156,66.7,59312900
2024-08-29,67.45,69.43,65.79,66.35,60016829
2024-08-30,68.12,68.87,66.18,68.61,46473387
2024-09-03,67.26,67.32,61.292,62.35,73786277
2024-09-04,61.04,63.37,60.65,61.82,48399189
2024-09-05,61.14,63.7194,60.72,62.02,55085757
2024-09-06,61.61,61.97,56.7201,56.99,84952304
2024-09-09,58.57,59.485,57.335,59.11,55417464
2024-09-10,59.78,60.915,58.2,60.7,45791205
2024-09-11,61.18,64.9499,57.77,64.57,81737591
2024-09-12,64.63,66.89,63.89,66.48,55173519
2024-09-13,66.15,67.87,66.05,67.35,43983294
2024-09-16,66.42,66.71,65.025,66.45,41165537
2024-09-17,67.7,68.26,65.47,66.49,51557229
2024-09-18,67.02,68.76,65.39,65.62,83198097
2024-09-19,70.3,71.8,69.4117,70.58,57400669
2024-09-20,70.15,70.68,68.31,70.13,48379784
2024-09-23,70.62,71.15,70.04,70.65,34918520
2024-09-24,71.28,72.09,69.38,71.65,40629758
2024-09-25,71.14,72.4899,71.059,71.67,32362441
2024-09-26,74.92,75.07,71.58,73.19,53501578
2024-09-27,73.62,73.66,71.39,71.93,41465342
2024-09-30,71.46,72.62,70.18,72.49,43166952
2024-10-01,72.28,72.43,67.7,69.42,67380086
2024-10-02,69.01,70.5376,67.87,69.68,39559677
2024-10-03,68.73,70.8084,68.39,69.52,48874717
2024-10-04,72.0,72.16,69.78,71.97,55465010
2024-10-07,71.05,71.58,69.0579,69.6,41201718
2024-10-08,70.66,72.98,70.31,72.62,38957040
2024-10-09,72.52,74.63,72.06,74.37,39348133
2024-10-10,73.32,74.95,72.72,74.11,43030297
